repo,commenter,month,churn_add,churn_del,comment_count,commit_count,issue_count,pr_count,thread_comments_total,thread_participants_total,threads_participated,active_months,active,last_active_month,engagement_label
sveltejs/svelte,7nik,2025/1/1,149,63,0,2,0,3,0,0,0,10,TRUE,2025/4/1,Engaged
sveltejs/svelte,7nik,2025/2/1,27,12,0,1,0,2,0,0,0,10,TRUE,2025/4/1,Engaged
sveltejs/svelte,7nik,2025/3/1,461,336,0,2,0,1,0,0,0,10,TRUE,2025/4/1,Engaged
sveltejs/svelte,7nik,2025/4/1,75,7,0,2,0,4,0,0,0,10,TRUE,2025/4/1,Engaged
moby/moby,7sunarni,2024/8/1,12,7,0,1,0,1,0,0,0,3,TRUE,2025/4/1,Engaged
kubernetes/kubernetes,7sunarni,2025/2/1,0,0,0,0,0,1,0,0,0,3,TRUE,2025/4/1,Engaged
kubernetes/kubernetes,7sunarni,2025/4/1,0,0,0,0,0,1,0,0,0,3,TRUE,2025/4/1,Engaged
pytorch/pytorch,842974287,2024/5/1,0,0,0,0,0,1,0,0,0,3,TRUE,2025/3/1,Engaged
pytorch/pytorch,842974287,2024/7/1,0,0,0,0,0,1,0,0,0,3,TRUE,2025/3/1,Engaged
pytorch/pytorch,842974287,2025/3/1,0,0,0,0,0,1,0,0,0,3,TRUE,2025/3/1,Engaged
nuxt/nuxt,94726,2024/6/1,29,6,0,1,1,1,0,0,0,4,TRUE,2025/3/1,Engaged
nuxt/nuxt,94726,2025/1/1,0,0,0,0,0,1,0,0,0,4,TRUE,2025/3/1,Engaged
nuxt/nuxt,94726,2025/2/1,60,26,0,2,0,1,0,0,0,4,TRUE,2025/3/1,Engaged
vitejs/vite,94726,2025/3/1,23,9,0,1,0,1,0,0,0,4,TRUE,2025/3/1,Engaged
angular/angular,9kubczas4,2024/2/1,0,0,0,0,0,1,0,0,0,6,TRUE,2024/9/1,Disengaged
angular/angular,9kubczas4,2024/3/1,0,0,0,0,0,1,0,0,0,6,TRUE,2024/9/1,Disengaged
angular/angular,9kubczas4,2024/5/1,0,0,0,0,0,5,0,0,0,6,TRUE,2024/9/1,Disengaged
angular/angular,9kubczas4,2024/7/1,0,0,0,0,0,1,0,0,0,6,TRUE,2024/9/1,Disengaged
angular/angular,9kubczas4,2024/8/1,0,0,0,0,0,1,0,0,0,6,TRUE,2024/9/1,Disengaged
angular/angular,9kubczas4,2024/9/1,0,0,0,0,0,1,0,0,0,6,TRUE,2024/9/1,Disengaged
FreeTubeApp/FreeTube,ACR-Jeff,2024/2/1,0,0,2,0,0,0,34,28,1,7,TRUE,2025/2/1,Disengaged
FreeTubeApp/FreeTube,ACR-Jeff,2024/3/1,0,0,0,0,1,0,0,0,0,7,TRUE,2025/2/1,Disengaged
FreeTubeApp/FreeTube,ACR-Jeff,2024/6/1,0,0,0,0,1,0,0,0,0,7,TRUE,2025/2/1,Disengaged
