repo,commenter,month,commit_count,churn_add,churn_del
scikit-learn/scikit-learn,JakobBull,2024-11-01,1,3,2
scikit-learn/scikit-learn,shenxiangzhuang,2024-11-01,1,1,1
scikit-learn/scikit-learn,nithish08,2024-11-01,1,168,125
scikit-learn/scikit-learn,nithish08,2024-07-01,2,75,151
scikit-learn/scikit-learn,vitaliset,2024-11-01,1,137,10
scikit-learn/scikit-learn,vitaliset,2024-07-01,1,217,211
scikit-learn/scikit-learn,rajathkannabiran,2024-11-01,1,2,2
scikit-learn/scikit-learn,vedpawar2254,2024-10-01,1,2,2
scikit-learn/scikit-learn,Redjest,2024-10-01,1,53,12
scikit-learn/scikit-learn,janezd,2024-10-01,1,15,9
scikit-learn/scikit-learn,natmokval,2024-10-01,1,3,0
scikit-learn/scikit-learn,ArthurCourselle,2024-10-01,1,106,8
scikit-learn/scikit-learn,gunsodo,2024-10-01,1,98,9
scikit-learn/scikit-learn,MaxwellLZH,2024-10-01,1,103,5
scikit-learn/scikit-learn,nocoding03,2024-10-01,1,2,2
scikit-learn/scikit-learn,smola,2024-10-01,1,96,0
scikit-learn/scikit-learn,Sean-Jay-M,2024-10-01,2,15,1
scikit-learn/scikit-learn,zvealey,2024-10-01,1,95,32
scikit-learn/scikit-learn,NoPenguinsLand,2024-10-01,1,326,56
scikit-learn/scikit-learn,BlazeStorm001,2024-10-01,1,1,1
scikit-learn/scikit-learn,Jaimin020,2024-10-01,1,39,1
scikit-learn/scikit-learn,abhi-jha,2024-10-01,2,16,16
scikit-learn/scikit-learn,veeara282,2024-10-01,1,3,0
scikit-learn/scikit-learn,veeara282,2024-08-01,1,6,6
scikit-learn/scikit-learn,Tialo,2024-10-01,1,115,89
scikit-learn/scikit-learn,Tialo,2024-06-01,7,153,41
scikit-learn/scikit-learn,Tialo,2024-05-01,1,1,1
scikit-learn/scikit-learn,Tialo,2024-04-01,2,9,1
scikit-learn/scikit-learn,qbarthelemy,2024-10-01,1,1,1
scikit-learn/scikit-learn,wjiayis,2024-10-01,1,5,1
scikit-learn/scikit-learn,wjiayis,2024-09-01,1,30,10
